level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	600	2350	-1	
2	1	1	0	0	0	290	140	110	26	-1	
3	1	1	1	0	0	290	140	110	26	-1	
4	1	1	1	1	0	290	140	110	26	-1	
5	1	1	1	1	1	290	140	110	26	79	JPMOR
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	600	2350	-1	
2	1	1	0	0	0	400	1076	200	29	-1	
3	1	1	1	0	0	400	1076	200	29	-1	
4	1	1	1	1	0	400	1076	200	29	-1	
5	1	1	1	1	1	400	1082	12	16	86	s
5	1	1	1	1	2	423	1076	66	29	93	Page
5	1	1	1	1	3	501	1076	99	23	26	Intentio!
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	600	2350	-1	
2	1	1	0	0	0	466	0	1	6	-1	
3	1	1	1	0	0	466	0	1	6	-1	
4	1	1	1	1	0	466	0	1	6	-1	
5	1	1	1	1	1	466	0	1	6	95	 
2	1	2	0	0	0	400	34	200	29	-1	
3	1	2	1	0	0	400	34	200	29	-1	
4	1	2	1	1	0	400	34	200	29	-1	
5	1	2	1	1	1	400	34	84	29	92	inding
5	1	2	1	1	2	496	34	104	23	59	12/31/11
2	1	3	0	0	0	43	328	357	29	-1	
3	1	3	1	0	0	43	328	357	29	-1	
4	1	3	1	1	0	43	328	357	29	-1	
5	1	3	1	1	1	43	328	31	22	96	The
5	1	3	1	1	2	76	328	139	29	96	following
5	1	3	1	1	3	223	329	105	28	96	charges
5	1	3	1	1	4	337	334	41	17	95	are
5	1	3	1	1	5	388	334	12	17	95	a
2	1	4	0	0	0	41	469	556	30	-1	
3	1	4	1	0	0	41	469	556	30	-1	
4	1	4	1	1	0	41	469	556	30	-1	
5	1	4	1	1	1	41	469	107	23	96	Current
5	1	4	1	1	2	157	469	116	29	96	Charges
5	1	4	1	1	3	464	476	34	23	93	Net
5	1	4	1	1	4	500	476	97	23	91	Intere
2	1	5	0	0	0	36	510	562	10	-1	
3	1	5	1	0	0	36	510	562	10	-1	
4	1	5	1	1	0	36	510	562	10	-1	
5	1	5	1	1	1	36	510	562	10	95	 
2	1	6	0	0	0	66	563	334	29	-1	
3	1	6	1	0	0	66	563	334	29	-1	
4	1	6	1	1	0	66	563	334	29	-1	
5	1	6	1	1	1	66	563	125	23	96	Customer
5	1	6	1	1	2	194	563	153	23	96	Collateral
5	1	6	1	1	3	356	563	44	29	88	Ty;
2	1	7	0	0	0	91	653	309	150	-1	
3	1	7	1	0	0	91	653	309	150	-1	
4	1	7	1	1	0	92	653	308	23	-1	
5	1	7	1	1	1	92	653	87	23	95	DEMO
5	1	7	1	1	2	188	653	212	23	95	AUTOMOBILES
4	1	7	1	2	0	92	717	46	22	-1	
5	1	7	1	2	1	92	717	46	22	95	KIA
4	1	7	1	3	0	91	780	280	23	-1	
5	1	7	1	3	1	91	780	128	23	93	SERVICE
5	1	7	1	3	2	231	780	140	23	91	LOANERS
2	1	8	0	0	0	66	890	138	23	-1	
3	1	8	1	0	0	66	890	138	23	-1	
4	1	8	1	1	0	66	890	138	23	-1	
5	1	8	1	1	1	66	890	138	23	96	Customer
2	1	9	0	0	0	40	1017	560	27	-1	
3	1	9	1	0	0	40	1017	560	27	-1	
4	1	9	1	1	0	40	1017	560	27	-1	
5	1	9	1	1	1	40	1017	70	23	96	Total
5	1	9	1	1	2	120	1017	107	23	96	Current
5	1	9	1	1	3	237	1017	53	23	96	Due
5	1	9	1	1	4	551	1017	49	27	43	18,7
2	1	10	0	0	0	41	1114	559	27	-1	
3	1	10	1	0	0	41	1114	559	27	-1	
4	1	10	1	1	0	41	1114	559	27	-1	
5	1	10	1	1	1	41	1114	86	23	95	Grand
5	1	10	1	1	2	136	1114	70	23	95	Total
5	1	10	1	1	3	217	1114	53	23	96	Due
5	1	10	1	1	4	551	1114	49	27	27	18,7
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	600	2350	-1	
2	1	1	0	0	0	400	1043	200	29	-1	
3	1	1	1	0	0	400	1043	200	29	-1	
4	1	1	1	1	0	400	1043	200	29	-1	
5	1	1	1	1	1	400	1043	63	29	75	?age
5	1	1	1	1	2	475	1043	125	23	92	Intentiona
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	600	2350	-1	
2	1	1	0	0	0	66	0	534	88	-1	
3	1	1	1	0	0	66	0	534	88	-1	
4	1	1	1	1	0	66	0	534	88	-1	
5	1	1	1	1	1	66	6	229	64	94	CHASE
5	1	1	1	1	2	305	0	137	81	10	(er
5	1	1	1	1	3	444	9	156	79	0	inec
2	1	2	0	0	0	20	422	578	9	-1	
